Designator,Mid X,Mid Y,Rotation,Layer
C1,142.24,-38.1,270.0,top
C2,143.2345,-34.29,0.0,top
D2,111.76,-44.45,270.0,top
D3,111.3275,-40.64,0.0,top
D4,116.1565,-47.686,0.0,top
D7,148.59,-31.3175,90.0,top
J1,151.706,-46.325,90.0,top
J4,136.45,-54.864,0.0,top
R1,124.714,-43.434,180.0,top
R12,137.16,-44.45,270.0,top
R13,144.1215,-30.988,0.0,top
R2,124.206,-37.846,0.0,top
R3,124.46,-40.64,0.0,top
R5,107.95,-39.37,0.0,top
R6,107.95,-43.18,0.0,top
R7,113.03,-36.83,180.0,top
R8,108.3075,-46.99,180.0,top
R9,132.08,-43.18,180.0,top
U1,116.775,-42.545,270.0,top
U2,116.6033,-43.1568,0.0,top
U4,136.5,-36.83,0.0,top
