Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22uF,C309037
C2,0805,1,10uF,C380332
D2,0603,1,TX_IND,C5900436
D3,0603,1,RX_IND,C5900436
D4,SOT-23,1,SM712_SOT23,C1974932
D7,0603,1,PWR_IND,C5900436
J1,microSD_HC_Molex_47219-2001,1,Micro_SD_Card,C585350
J4,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,Screw_Terminal_01x02,C7417535
R1,0603,1,120,C352373
"R12, R5, R6, R9",0603,4,10K,C15401
"R13, R7, R8",0603,3,470,C328361
"R2, R3",0603,2,20K,C118368
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485CSA,C9945
U2,VSDSquadron_FM,1,VSDSquadron FM,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
