Designator,Mid X,Mid Y,Rotation,Layer
C1,134.112,-41.656,0.0,top
C2,142.24,-36.0465,270.0,top
D2,110.753,-44.704,0.0,top
D3,110.744,-40.64,0.0,top
D4,137.0815,-48.26,180.0,top
D7,148.477,-30.988,180.0,top
J1,151.706,-46.325,90.0,top
J4,136.45,-54.864,0.0,top
R1,119.38,-51.308,180.0,top
R12,155.0435,-35.56,180.0,top
R13,146.9155,-35.56,0.0,top
R2,124.968,-39.0125,270.0,top
R3,124.5635,-47.752,90.0,top
R5,124.968,-35.052,90.0,top
R6,118.872,-36.9805,270.0,top
R7,112.268,-35.56,180.0,top
R8,108.204,-50.8,180.0,top
R9,155.956,-31.5995,90.0,top
U1,116.775,-42.545,270.0,top
U2,116.6033,-42.9078,0.0,top
U4,136.5,-36.83,0.0,top
