Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,C380332
C2,0805,1,22uF,C380336
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D36, D37, D38, D39, D4, D40, D5, D6, D7, D8, D9",LED_miniPLCC_2315,39,LED_Small,C2689217
S1,STAB_MX_P_2u,1,MX_stab,CHERRY-MX-SS10
S2,STAB_MX_2.25u,1,MX_stab,CHERRY-MX-SS10
S3,STAB_MX_P_6.25u,1,MX_stab,CHERRY-MX-SS10
"SW1, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW32, SW33, SW34, SW36, SW37, SW38, SW39, SW4, SW5, SW6, SW7, SW8, SW9",SW_MX_1u,33,MX_SW_solder,C7471788
"SW10, SW21",SW_MX_1.75u,2,MX_SW_solder,C7471788
"SW11, SW31, SW40",SW_MX_1.25u,3,MX_SW_solder,C7471788
SW20,SW_MX_1.5u,1,MX_SW_solder,C7471788
U1,VSDSquadron_FM,1,VSDSquadron FM,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
