Designator,Mid X,Mid Y,Rotation,Layer
AE1,161.29,-88.9,0.0,top
C1,119.38,-90.17,270.0,top
C10,118.745,-95.885,270.0,top
C11,137.16,-93.98,0.0,top
C12,147.955,-85.725,0.0,top
C13,143.51,-84.455,270.0,top
C14,150.495,-89.535,0.0,top
C15,150.495,-87.63,0.0,top
C16,150.7225,-80.645,0.0,top
C2,120.015,-80.01,90.0,top
C3,128.905,-97.155,0.0,top
C4,128.905,-95.25,0.0,top
C5,128.6775,-93.345,0.0,top
C6,154.305,-80.01,270.0,top
C7,167.64,-80.01,90.0,top
C8,123.825,-95.885,270.0,top
C9,121.285,-95.885,270.0,top
D1,146.805,-98.425,180.0,top
R3,140.97,-100.33,0.0,top
R4,147.955,-78.105,90.0,top
R5,143.51,-78.74,180.0,top
U1,127.818264,-87.501764,0.0,top
U2,118.745,-85.09,90.0,top
U3,162.185,-79.97,270.0,top
U5,130.175,-85.09,90.0,top
U6,146.675,-82.76,0.0,top
