Designator,Mid X,Mid Y,Rotation,Layer
C4,154.3625,-98.0,0.0,top
C5,154.3875,-101.75,0.0,top
D1,132.25,-103.1,90.0,top
D2,128.5,-103.1,90.0,top
D3,124.75,-103.2,90.0,top
D4,121.0,-103.1,90.0,top
D5,121.0,-107.1,270.0,top
D6,124.75,-107.1,270.0,top
D7,128.5,-107.1,270.0,top
D8,132.25,-107.0,270.0,top
J1,152.77,-117.52,270.0,top
J2,165.52,-106.52,0.0,top
J3,156.585,-93.6,270.0,top
RN1,118.2,-115.6,180.0,top
RN2,128.35,-115.65,180.0,top
RN3,160.3,-101.55,90.0,top
RN4,160.35,-108.85,90.0,top
RN5,117.0,-100.0,270.0,top
RN6,116.95,-107.9,270.0,top
U1,125.920764,-106.181764,0.0,top
U2,146.85,-100.3,0.0,top
